Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/30/2017,7.7,Hotel Arena, Ireland , We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment ,59,1403, We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland ,64,2,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",34 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/29/2017,7.7,Hotel Arena, Netherlands ,No Negative,0,1403, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues ,33,4,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ']",35 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/20/2017,7.7,Hotel Arena, Australia , We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely ,73,1403, I liked the hotels history And for such an enormous hotel I can t imagine how many girls were orphaned I liked their breakfast It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee ,48,16,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",44 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/19/2017,7.7,Hotel Arena, United Kingdom , Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,40,1403, Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area ,17,1,6.3,"[' Leisure trip ', ' Travelers with friends ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-12-2017,7.7,Hotel Arena, France , Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery ,92,1403, The breakfast was the only positive element of this hotel original in taste and a good selection of selection of health food dishes on the buffet We did not try the restaurant but the whole set up with its view and terrace on the park is exceptional We had a wedding in the hotel s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location ,75,12,3.8,"[' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",52 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-10-2017,7.7,Hotel Arena, Germany , Sadly I cannot say that the rooms are clean enough for me When we got in our room we immediately notice there s something wet and sticky like juice or something just next to our bed We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the room on the curtain and in the bathroom there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other rooms And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing ,364,1403, The location is good You need 15min to 20min walk to the center depends on your speed The hotel locates in a beautiful park and have a nice interior design The bed was really comfortable ,37,21,5.4,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",54 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/29/2017,7.7,Hotel Arena, Ireland , Transportation was a bit of a pain but on route to your destination there is amazing views at every corner ,22,1403, Bed was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly ,51,1,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",66 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/27/2017,7.7,Hotel Arena, United Kingdom , Nothing ,3,1403, Lovely hotel with extremely comfortable huge double bed We stayed in the split level room which we really liked If you have difficulty getting up stairs request if you can stay in a room all on one level The Oosterpark is beautiful the shops and restaurants are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the Hotel All in all a beautiful hotel with friendly staff shampoo and soap in the shower Tea and coffee facilities in your room and in a location that is more relaxing than the central Amsterdam We will be returning ,130,2,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",68 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/25/2017,7.7,Hotel Arena, United States of America , The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv ,57,1403, Great location in the park near museums and restaurants Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious rooms Big breakfast spread perfect for starting the day off right Friendly and helpful staff I m,43,4,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",70 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/25/2017,7.7,Hotel Arena, United Kingdom , Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all ,51,1403, The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around ,134,2,9.6,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ']",70 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/22/2017,7.7,Hotel Arena, France , Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,31,1403, Great hotel original concept style,6,25,8.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']",73 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/21/2017,7.7,Hotel Arena, United States of America , We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom ,53,1403, The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits ,22,4,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",74 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/16/2017,7.7,Hotel Arena, Hungary , There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical ,24,1403, The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel ,49,2,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",79 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/16/2017,7.7,Hotel Arena, Ireland , Little bit on the pricey side,7,1403, The staff were so friendly and helpful plus the bar restaurant area is beautiful Located in its own park and the old building is simply stunning ,28,5,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",79 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,05-11-2017,7.7,Hotel Arena, United Kingdom , Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,61,1403, Friendly staff The bar restaurant area is lovely and overlooks the park Very modern ,16,14,7.1,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 4 nights ']",84 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,05-11-2017,7.7,Hotel Arena, United States of America , Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,68,1403,No Positive,0,1,4.2,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",84 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,05-09-2017,7.7,Hotel Arena, Netherlands , Please see above,4,1403, The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible ,40,1,6.7,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 2 nights ']",86 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,05-02-2017,7.7,Hotel Arena, United States of America , The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two ,26,1403, The room was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing,32,6,7.9,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",93 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/27/2017,7.7,Hotel Arena, Israel , Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality ,23,1403, Very nice hotel manager he upgraded us because we had troubles with two different rooms They do everything to make you feel welcome and comfortable The park directly in front of the hotel is amazing rent a bike directly and make a tour Also the bathtub and bed is great ,52,2,8.3,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",98 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/26/2017,7.7,Hotel Arena, Ireland , not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,18,1403, the building meeting rooms modern style of my room park,11,5,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 1 night ']",99 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/20/2017,7.7,Hotel Arena, Russia , The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more ,29,1403, Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed ,56,85,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",105 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/20/2017,7.7,Hotel Arena, United Kingdom , the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,93,1403, The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam,186,2,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",105 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/19/2017,7.7,Hotel Arena, Canada , Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet ,122,1403, Location on the park with easy access to tram lines was very good ,15,1,6.3,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 3 nights ']",106 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/18/2017,7.7,Hotel Arena, Germany , Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy ,63,1403, The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything ,41,26,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",107 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/16/2017,7.7,Hotel Arena, United Kingdom , Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate ,139,1403, Nice restaurant although felt breakfast was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous ,50,8,6.7,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",109 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/14/2017,7.7,Hotel Arena, Switzerland , Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,110,1403, Love the design of the renovated product The park nearby for a walk ,15,4,2.9,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",111 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,04-10-2017,7.7,Hotel Arena, United Kingdom , Water pressure in my shower was no existent Feel bad even saying that ,15,1403, Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back,23,8,9.6,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",115 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,04-05-2017,7.7,Hotel Arena, United States of America , The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning ,26,1403, The brunch to purchase in the morning was good ,11,1,3.3,"[' Leisure trip ', ' Group ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",120 day,52.3605759,4.9159683
